5	181	1.0000
10	17	0.7801
17	10	0.7801
19	59	1.0000
21	60	0.9767
23	66	0.6382
24	54	0.6358
25	56	0.7678
26	62	0.5415
27	62	0.5939
28	76	0.6071
29	63	0.7255
30	64	0.6844
35	65	0.5148
36	77	0.8568
36	174	0.6966
40	172	0.6794
46	170	0.5395
54	24	0.6358
56	25	0.7678
59	19	1.0000
60	21	0.9767
62	26	0.5415
62	27	0.5939
62	179	0.5166
63	29	0.7255
64	30	0.6844
65	35	0.5148
66	23	0.6382
76	28	0.6071
77	36	0.8568
77	174	0.5665
127	167	0.7394
128	168	0.6953
167	127	0.7394
168	128	0.6953
170	46	0.5395
172	40	0.6794
174	36	0.6966
174	77	0.5665
179	62	0.5166
181	5	1.0000
